"","allCAG","allCAGpred"
"1",4.86766236535105,4.71204611137484
"5",4.86517358889066,3.93335904649178
"7",4.84150451520159,4.4875615196147
"15",4.86870415070482,4.11936489627186
"17",4.85988116168776,4.66436439279171
"25",5.04511723287031,4.26724582031043
"27",4.99901686073337,3.93432050388794
"36",5.00860356486485,5.00329952335605
"37",5.0034367801861,4.34904331002617
"38",5.01036625790927,4.81555488268754
"42",5.04623567971384,3.92121051563515
"45",5.01314314680322,3.83852447370236
"58",5.36244807016435,4.43571352309411
"71",2.99650697339656,3.8878620425716
"72",1.94591014905531,3.25473461746308
"82",2.99772179314675,4.11322986925887
"83",1.94591014905531,3.15941205982203
"96",1.94591014905531,4.26378679630383
"99",2.99268012046995,3.75692169300844
"101",1.94591014905531,4.89160668260643
"110",1.94591014905531,3.94768650875321
"112",4.49417884695781,3.94159088859678
"117",4.50679609720474,4.95945203320206
"118",4.4956145497708,3.81657720812775
"125",4.44691134588076,4.00813263184007
"134",4.60137097812885,4.34513473499613
"138",4.63045433090579,3.89452257514979
"139",4.6219134322647,4.84023043574211
"145",4.63555747988708,3.71855315823474
"148",4.65492065082597,3.89954914044887
"151",4.61656828020713,4.3138441561967
"3",4.82910942066232,4.33725073947467
"6",4.84062618704582,4.63957727069616
"8",4.81695240104905,3.67955138643577
"12",4.8445999933268,4.17887708843926
"18",4.84834010427278,3.76730513214901
"23",4.81880644589266,4.57240209361198
"24",5.00579071136612,4.70334377448075
"29",5.00574415193865,5.03028185572662
"31",5.01226463266962,3.49803529421708
"33",4.98221249968674,5.46799007786005
"34",4.9475346720195,3.37033283492203
"54",5.34392867397812,4.37650885945918
"60",5.32990314221644,4.87961334861568
"62",5.28442379633547,4.82730318791341
"64",5.30918524662117,5.45389673813785
"73",2.99979998916979,4.06810209619057
"74",1.94591014905531,4.81084115099288
"78",1.94591014905531,3.16244336257932
"86",1.94591014905531,4.46097488521104
"92",1.94591014905531,3.99593417903106
"93",2.99633359272537,3.89909439800602
"95",2.99702793382359,3.52960249964725
"106",2.99858819153519,3.1723231948746
"114",4.50618232178522,4.15058465088844
"115",4.48340416627133,3.7248785356488
"116",4.48399279602368,4.98532382555424
"130",4.43198254766547,4.98290511615251
"146",4.58611630830894,4.43729230842056
"149",4.61605275543912,4.32068448573323
"150",4.61543383408892,3.92774639879968
"153",4.65501978875421,3.9669934081444
"4",4.80384848886274,5.13907420077323
"13",4.85222907228093,4.6439358646519
"19",4.70039127091449,3.39069089704582
"20",4.81990044460056,3.84497847516449
"21",4.82006863971212,3.88136345526533
"22",4.77271518859286,4.33773070586563
"30",4.9985245879787,4.29615557263401
"41",4.95840661500438,4.58774983684887
"47",5.30420574596384,4.54367835903457
"48",5.33311340138768,4.62335866939634
"56",5.3154047914082,4.51123608451766
"57",5.34362982383228,5.1866697468563
"61",5.27900038930478,4.85589036115722
"66",5.30858348911791,3.81510371685198
"75",2.99442141475389,3.58531302725872
"76",2.99910757082383,4.32575974019766
"84",1.94591014905531,3.31454360661513
"85",2.99633359272537,3.52755188706209
"87",2.99320257656694,3.07005011874776
"100",1.94591014905531,4.59178424480813
"102",2.99459512724814,4.10765767075474
"103",1.94591014905531,3.3745521882851
"123",4.50333921194127,5.03926430264132
"124",4.47048647255403,4.2842234674966
"126",4.44275042804324,4.06064095578978
"127",4.44303647640124,4.04153309265622
"135",4.62129812871694,4.57803851913893
"136",4.66059145853808,3.44921056325035
"141",4.61605275543912,4.92369249698146
"143",4.625903752375,4.24817623618216
"2",4.83600234406789,5.15536495658684
"14",4.82916497489676,4.30886247169052
"16",4.82141318314883,4.181869854377
"26",4.97829596978357,4.55431473699644
"28",4.99238557641156,4.52810923653864
"39",4.92965876165517,4.59070017524036
"46",5.2740993125869,4.27032303837128
"50",5.31748645987061,4.88198386844487
"51",5.29347365469302,4.28756812429841
"52",5.32351921530932,4.39397974998687
"53",5.30868666902628,4.37002432612395
"55",5.29558398426003,4.49224592128636
"59",5.28034568903982,4.25301326461012
"69",1.94591014905531,3.91276910436034
"80",3.00049192840432,3.45503454146741
"81",1.94591014905531,3.34680142993394
"88",1.94591014905531,3.22436146377435
"89",2.99720119416167,2.83322200017601
"91",1.94591014905531,3.408020447056
"97",2.99702793382359,3.95661379415411
"104",1.94591014905531,4.45135678001574
"107",2.97969943167941,3.74987440210251
"113",4.47263121503595,3.66333515620019
"120",4.47012851060335,3.93750598612606
"122",4.48159704497745,4.7137169200067
"131",4.44434335349813,4.16059203778697
"133",4.64009804416437,3.68330639849963
"137",4.62953913644943,4.61749123347149
"140",4.62198177596114,4.19754037909167
"144",4.6344782771926,4.60072503104796
"147",4.60638145210901,4.7140612500071
"9",4.85165894498927,4.95792806669198
"10",4.82908160241841,4.13093061603841
"11",4.84492815038556,4.5310057171314
"32",4.94060152391932,4.8010257354424
